Rider_ID,Rider_Name,Store_ID,Rider_Status,Average_Rating,Average_Delivery_Time_Min
RID0001,Md Chauhan,DS001,Active,5.0,16.4
RID0002,Srinu Barman,DS001,Active,4.7,15.9
RID0003,Alpana Paswan,DS001,Active,4.6,19.3
RID0004,Mohammed More,DS001,Active,5.0,20.3
RID0005,Selvam Yadav,DS001,Active,3.5,23.1
RID0006,Prasenjit Chauhan,DS001,On Leave,4.6,17.9
RID0007,Shiva Basha,DS001,Active,4.2,21.8
RID0008,Saraswati Devi,DS001,Inactive,3.9,16.6
RID0009,Maruti Gupta,DS001,Active,4.8,23.9
RID0010,Prabhu Roy,DS001,Active,4.5,10.4
RID0011,Amit Singh,DS001,Active,4.5,26.3
RID0012,Sujit Kamble,DS001,Active,4.9,18.7
RID0013,Savita Sharma,DS001,Active,4.3,17.8
RID0014,Kiran Kamble,DS001,Active,4.6,10.6
RID0015,Babu Devi,DS001,Active,4.3,19.4
RID0016,Suraj Paswan,DS001,Inactive,4.3,12.0
RID0017,Venkatesh Mondal,DS001,Active,4.5,14.1
RID0018,Ruma Gounder,DS001,Active,4.0,19.0
RID0019,Naresh Maurya,DS001,Active,3.3,18.2
RID0020,Ram Maurya,DS001,Active,3.5,17.5
RID0021,Sukumar M,DS001,Inactive,3.2,24.9
RID0022,Sanjay Hossain,DS001,Active,3.8,15.8
RID0023,Kannan M,DS001,Active,4.6,18.7
RID0024,Sanjay Paswan,DS001,Active,4.6,11.0
RID0025,Vikas Khan,DS001,Active,4.4,21.8
RID0026,Arun Jadhav,DS001,Active,5.0,16.6
RID0027,Venkatesh Reddy,DS001,On Leave,4.5,29.7
RID0028,Anil Ali,DS001,Active,4.7,24.8
RID0029,Sonu Pawar,DS001,Active,4.5,16.0
RID0030,Tapan Roy,DS001,Active,4.5,10.1
RID0031,Sukumar P,DS001,Active,3.7,23.6
RID0032,Kumar Nadar,DS001,Active,3.8,22.1
RID0033,Saraswati Pal,DS001,Active,4.7,10.4
RID0034,Naresh Pal,DS001,Active,4.5,18.5
RID0035,Rekha Khan,DS001,Active,3.9,22.8
RID0036,Bikas Jadhav,DS001,Active,4.6,14.9
RID0037,Roopa More,DS001,Active,4.5,21.2
RID0038,Dharmendra Maurya,DS001,Active,3.2,17.1
RID0039,Suresh Kale,DS001,Active,4.7,12.7
RID0040,Geeta Kumari,DS001,Active,3.2,24.0
RID0041,Manju K,DS001,Active,4.5,17.8
RID0042,Md Chauhan,DS002,Active,4.8,18.1
RID0043,Srinu Barman,DS002,Active,4.2,11.1
RID0044,Alpana Paswan,DS002,Active,4.3,14.2
RID0045,Mohammed More,DS002,Active,4.4,17.2
RID0046,Selvam Yadav,DS002,Active,5.0,15.8
RID0047,Prasenjit Chauhan,DS002,On Leave,3.5,18.4
RID0048,Shiva Basha,DS002,Active,4.2,21.2
RID0049,Saraswati Devi,DS002,Active,4.2,15.6
RID0050,Maruti Gupta,DS002,Active,4.3,14.3
RID0051,Prabhu Roy,DS002,Active,4.2,17.4
RID0052,Amit Singh,DS002,On Leave,4.5,23.8
RID0053,Sujit Kamble,DS002,Active,4.5,21.5
RID0054,Savita Sharma,DS002,Active,4.4,19.0
RID0055,Kiran Kamble,DS002,Active,4.9,15.6
RID0056,Babu Devi,DS002,Active,4.3,16.8
RID0057,Suraj Paswan,DS002,On Leave,4.9,24.9
RID0058,Venkatesh Mondal,DS002,Active,4.5,24.0
RID0059,Ruma Gounder,DS002,Active,4.6,17.5
RID0060,Naresh Maurya,DS002,Active,4.2,21.8
RID0061,Ram Maurya,DS002,Active,3.8,24.4
RID0062,Sukumar M,DS002,Active,4.4,12.7
RID0063,Sanjay Hossain,DS002,Active,4.7,18.8
RID0064,Kannan M,DS002,Active,4.6,13.8
RID0065,Sanjay Paswan,DS002,Active,5.0,10.1
RID0066,Vikas Khan,DS002,Active,4.4,20.7
RID0067,Arun Jadhav,DS002,Active,4.7,18.3
RID0068,Venkatesh Reddy,DS002,Active,4.2,15.9
RID0069,Anil Ali,DS002,Active,4.3,11.3
RID0070,Sonu Pawar,DS002,Active,4.4,19.7
RID0071,Tapan Roy,DS002,On Leave,4.3,12.8
RID0072,Sukumar P,DS002,Active,4.8,13.8
RID0073,Kumar Nadar,DS002,Active,4.0,17.8
RID0074,Saraswati Pal,DS002,Active,3.1,17.8
RID0075,Naresh Pal,DS002,Active,4.6,15.6
RID0076,Rekha Khan,DS002,Active,4.8,11.7
RID0077,Bikas Jadhav,DS002,Active,4.0,11.4
RID0078,Roopa More,DS002,Active,4.6,17.0
RID0079,Dharmendra Maurya,DS002,Active,4.7,19.0
RID0080,Md Chauhan,DS003,Active,4.8,16.9
RID0081,Srinu Barman,DS003,Active,4.6,17.3
RID0082,Alpana Paswan,DS003,Active,4.2,17.0
RID0083,Mohammed More,DS003,Active,4.4,20.6
RID0084,Selvam Yadav,DS003,Inactive,4.7,12.2
RID0085,Prasenjit Chauhan,DS003,Active,3.6,16.1
RID0086,Shiva Basha,DS003,Active,4.7,21.0
RID0087,Saraswati Devi,DS003,Active,4.3,15.6
RID0088,Maruti Gupta,DS003,Active,4.2,16.8
RID0089,Prabhu Roy,DS003,Active,4.4,23.8
RID0090,Amit Singh,DS003,Active,4.9,21.5
RID0091,Sujit Kamble,DS003,Active,4.8,16.6
RID0092,Savita Sharma,DS003,Active,4.0,18.2
RID0093,Kiran Kamble,DS003,Active,4.7,16.1
RID0094,Babu Devi,DS003,Active,4.6,19.5
RID0095,Suraj Paswan,DS003,Active,4.3,17.6
RID0096,Venkatesh Mondal,DS003,Active,3.2,17.3
RID0097,Ruma Gounder,DS003,Active,4.6,17.8
RID0098,Naresh Maurya,DS003,Active,4.5,15.9
RID0099,Ram Maurya,DS003,Active,4.4,23.1
RID0100,Sukumar M,DS003,Active,4.5,16.9
RID0101,Sanjay Hossain,DS003,Active,3.8,14.5
RID0102,Kannan M,DS003,On Leave,4.8,15.9
RID0103,Sanjay Paswan,DS003,Active,4.7,17.6
RID0104,Vikas Khan,DS003,Active,3.8,18.0
RID0105,Arun Jadhav,DS003,Active,4.6,15.3
RID0106,Venkatesh Reddy,DS003,Active,4.6,11.8
RID0107,Anil Ali,DS003,Active,4.2,18.7
RID0108,Sonu Pawar,DS003,Active,4.0,14.1
RID0109,Tapan Roy,DS003,Active,4.7,11.6
RID0110,Sukumar P,DS003,Active,3.2,19.0
RID0111,Kumar Nadar,DS003,Active,4.4,19.8
RID0112,Saraswati Pal,DS003,Active,3.7,29.3
RID0113,Naresh Pal,DS003,Active,4.5,15.7
RID0114,Rekha Khan,DS003,Active,4.9,18.7
RID0115,Bikas Jadhav,DS003,Active,4.7,16.7
RID0116,Roopa More,DS003,Active,4.9,14.9
RID0117,Dharmendra Maurya,DS003,Active,3.7,27.5
RID0118,Suresh Kale,DS003,Active,4.8,15.7
RID0119,Geeta Kumari,DS003,Active,4.6,23.7
RID0120,Manju K,DS003,Active,4.4,11.6
RID0121,Ramu Hossain,DS003,Active,3.7,20.0
RID0122,Naresh Ansari,DS003,Active,3.5,19.9
RID0123,Savita Patil,DS003,Active,3.9,23.3
RID0124,Alpana Babu,DS003,Active,4.2,10.6
